Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_722.jpg;-1.255584;1;0;0.5641226;99.79842;85.77886;1.15232;56.36395;-0.001104473
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_764.jpg;-3.74262;1;0;0.6061267;99.81284;85.79961;1.213691;56.30132;-0.0003834571
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_804.jpg;-6.231954;1;0;0.634142;99.82825;85.82085;1.25547;56.0699;0.001959427
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_859.jpg;-9.560424;1;0;0.6708906;99.85246;85.85241;1.224785;55.48177;0.003230857
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_915.jpg;-12.91184;1;0;0.7167659;99.87943;85.88507;1.173578;54.73913;0.004339308
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_22_971.jpg;-15;1;0;0.7574818;99.89968;85.90804;1.170595;54.31084;359.9905
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_020.jpg;-13.77437;1;0;0.8044832;99.93207;85.94455;1.188225;53.48829;359.9874
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_061.jpg;-11.68106;1;0;0.8317795;99.95428;85.9698;1.188842;52.86766;0.003054819
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_117.jpg;-8.347991;1;0;0.8844026;99.98973;86.0097;1.206577;52.09767;0.004874181
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_165.jpg;-5.030447;1;0;0.9185555;100.0142;86.03796;1.22143;51.72651;0.003417712
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_214.jpg;-3.802391;1;0;0.9764325;100.0522;86.08283;1.240999;51.42101;0.0009390511
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_256.jpg;-5.900921;1;0;1.009484;100.0786;86.11366;1.243123;51.18909;0.001213578
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_311.jpg;-9.267406;1;0;1.040466;100.1065;86.14466;1.233142;50.81495;0.00227562
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_361.jpg;-12.57392;1;0;1.081465;100.1509;86.19135;1.202514;50.01389;-0.001670269
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_402.jpg;-14.66135;1;0;1.104274;100.1823;86.22247;1.182395;49.30626;359.9827
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_443.jpg;-15;1;0;1.138687;100.2153;86.25395;1.170697;48.54184;359.961
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_485.jpg;-15;1;0;1.166891;100.2497;86.28597;1.167428;47.75776;359.9391
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_540.jpg;-15;1;0;1.216092;100.3037;86.33464;1.161486;46.5045;359.9142
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_589.jpg;-15;1;0;1.255877;100.3413;86.36744;1.150435;45.66068;359.9073
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_645.jpg;-15;1;0;1.286959;100.4006;86.4171;1.139705;44.38661;359.8934
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_700.jpg;-11.58466;1;0;1.339801;100.4625;86.46806;1.135822;43.19867;359.8979
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_755.jpg;-9.499026;1;0;1.384669;100.527;86.52082;1.148112;42.19551;359.9239
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_811.jpg;-6.151176;1;0;1.417013;100.5712;86.55749;1.171206;41.69965;359.9588
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_866.jpg;-2.8056;1;0;1.464523;100.6395;86.61469;1.239584;41.23183;0.002731167
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_908.jpg;0;1;0;1.509475;100.686;86.65379;1.27789;41.07846;0.001525379
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_23_964.jpg;0;1;0;1.540972;100.7565;86.71426;1.302642;41.02102;-0.001286916
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_020.jpg;0.898356;1;0;1.588732;100.8284;86.7765;1.284657;41.04668;-0.001373427
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_061.jpg;0;1;0;1.620094;100.8774;86.81893;1.263241;41.05538;-0.001251723
D:\Docs\projects\python\MarsRover\IMG\robocam_2020_07_19_12_12_24_102.jpg;2.165478;1;0;1.65231;100.9273;86.86259;1.260449;41.11663;-0.0005211948
